Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities_Account,CD_Account,Online,CreditCard,Card_Income_ratio,Personal_Loan
61,35,81,4,1.9,2,0,0,0,0,0,0.28148148148148144,0
36,12,89,2,2.7,1,0,0,0,0,0,0.3640449438202248,0
39,9,32,3,2.0,3,0,0,0,1,0,0.75,0
55,29,55,1,0.2,1,151,0,0,1,0,0.04363636363636364,0
48,23,41,1,1.4,3,0,0,0,0,1,0.40975609756097553,0
29,3,10,4,0.4,1,87,0,0,1,1,0.4800000000000001,0
50,25,32,2,0.7,2,0,0,0,1,0,0.26249999999999996,0
47,21,125,1,5.7,1,112,1,0,0,0,0.5472,0
32,5,48,2,1.67,2,0,1,1,1,1,0.4175,0
60,34,52,4,1.7,2,0,1,0,1,0,0.3923076923076923,0
57,27,64,3,2.0,3,142,0,0,1,0,0.375,0
33,9,38,1,1.33,1,115,0,0,0,0,0.42000000000000004,0
61,35,60,1,2.5,3,0,0,0,1,0,0.5,0
60,35,80,3,0.5,1,0,0,0,1,0,0.075,0
40,13,24,3,1.0,2,0,0,0,1,0,0.5,0
56,30,178,1,2.9,1,0,0,0,1,0,0.19550561797752808,0
31,5,50,4,2.1,3,209,0,0,1,0,0.504,0
57,31,39,1,2.2,3,0,0,0,1,1,0.676923076923077,0
45,15,28,1,0.75,3,0,1,0,0,0,0.32142857142857145,0
55,25,35,3,1.0,3,144,0,0,1,1,0.34285714285714286,0
59,35,151,2,6.0,1,0,0,0,1,0,0.4768211920529801,0
33,7,84,1,2.9,3,0,0,0,1,0,0.41428571428571426,0
45,21,134,4,5.5,2,0,0,1,1,1,0.4925373134328358,1
44,20,101,3,4.4,2,82,0,0,0,0,0.5227722772277228,1
36,11,15,2,0.3,2,119,0,0,0,0,0.23999999999999996,0
59,33,110,3,4.4,1,264,0,0,1,0,0.48000000000000004,0
57,33,49,4,1.5,1,214,1,1,1,1,0.3673469387755102,0
46,21,205,2,8.8,1,181,1,0,1,0,0.5151219512195122,0
61,37,172,4,4.25,1,0,0,1,1,1,0.29651162790697677,1
53,27,145,1,2.9,1,345,0,0,0,0,0.24,0
52,28,179,4,4.2,3,0,0,0,0,0,0.2815642458100559,1
43,19,83,4,3.6,3,0,0,0,0,1,0.5204819277108435,1
53,28,85,1,1.3,3,118,0,0,1,0,0.18352941176470589,0
26,2,30,1,1.0,3,111,0,0,0,0,0.4,0
28,3,70,4,2.2,1,240,0,0,0,1,0.37714285714285717,0
44,20,39,2,2.1,3,119,0,0,0,0,0.6461538461538462,0
40,15,144,1,4.1,1,0,0,0,0,0,0.3416666666666666,0
50,25,99,1,4.6,1,368,1,1,0,1,0.5575757575757575,1
28,4,32,3,1.0,2,0,0,0,0,0,0.375,0
26,1,80,4,0.2,1,0,0,0,1,1,0.030000000000000006,0
39,14,115,1,1.0,3,0,0,0,1,0,0.10434782608695652,0
57,33,55,1,1.8,3,0,0,0,1,0,0.39272727272727276,0
38,14,28,4,0.4,2,100,0,0,1,0,0.17142857142857146,0
58,33,52,3,0.5,2,0,0,0,0,1,0.11538461538461539,0
39,13,25,3,0.2,2,0,0,0,1,0,0.09600000000000002,0
40,14,129,1,5.9,3,0,0,0,1,0,0.5488372093023257,1
47,23,148,2,7.5,1,0,0,1,1,1,0.6081081081081081,0
61,37,155,1,2.9,1,0,0,0,1,0,0.22451612903225804,0
30,4,15,4,0.4,1,85,0,0,1,0,0.32000000000000006,0
51,26,12,2,0.7,3,109,0,0,1,1,0.6999999999999998,0
29,2,33,1,2.0,2,160,0,0,0,0,0.7272727272727273,0
60,36,89,2,2.8,1,0,0,0,1,0,0.37752808988764036,0
33,7,39,4,0.8,1,0,0,0,1,1,0.2461538461538462,0
54,28,64,2,0.8,3,0,1,0,1,0,0.15000000000000002,0
45,18,80,3,2.67,2,0,0,0,0,0,0.40049999999999997,0
46,22,142,2,3.3,1,0,0,0,0,0,0.2788732394366197,0
51,25,58,3,0.7,2,223,0,0,0,0,0.14482758620689654,0
34,9,92,1,2.8,1,0,0,0,1,0,0.36521739130434777,0
35,9,21,2,1.4,3,125,0,0,1,0,0.7999999999999998,0
45,21,83,4,2.0,3,0,0,0,1,0,0.2891566265060241,0
29,5,70,4,0.0,1,0,0,0,1,1,0.0,0
39,14,12,2,0.0,3,0,0,0,0,0,0.0,0
52,28,72,1,0.0,1,178,0,0,0,0,0.0,0
50,24,188,3,1.3,1,184,0,0,0,1,0.08297872340425533,1
51,25,29,4,0.1,1,0,0,0,1,1,0.04137931034482759,0
38,12,53,2,2.4,2,0,0,0,1,0,0.5433962264150943,0
30,6,42,1,2.1,3,0,0,0,1,0,0.6000000000000001,0
23,1,73,4,2.6,1,0,0,0,1,0,0.4273972602739726,0
27,0,33,4,1.0,3,0,0,0,0,0,0.36363636363636365,0
34,9,93,1,0.0,1,0,0,0,1,0,0.0,0
34,8,11,4,0.3,1,0,1,1,1,1,0.3272727272727272,0
50,24,43,4,0.1,1,0,0,0,1,0,0.02790697674418605,0
27,2,101,1,1.9,1,0,0,0,0,0,0.22574257425742572,0
54,30,121,2,0.4,1,0,0,0,1,0,0.03966942148760331,0
38,13,114,1,1.0,3,0,0,0,1,1,0.10526315789473684,0
61,37,23,3,0.4,2,0,0,0,0,0,0.2086956521739131,0
49,25,109,2,6.8,1,0,0,0,0,0,0.7486238532110091,0
52,28,149,2,0.4,1,0,0,0,0,0,0.032214765100671144,0
51,25,19,1,1.4,3,98,0,0,0,0,0.8842105263157893,0
46,21,34,2,1.3,1,0,0,0,1,0,0.45882352941176474,0
66,41,65,3,2.4,1,0,0,0,0,0,0.44307692307692303,0
60,35,55,3,0.5,2,172,0,0,0,0,0.10909090909090909,0
50,24,94,1,4.9,1,272,0,0,1,0,0.625531914893617,0
66,40,42,2,0.7,3,138,0,0,0,1,0.19999999999999996,0
42,18,115,1,3.5,1,0,0,0,0,1,0.3652173913043478,0
39,12,62,3,2.33,2,0,0,0,0,0,0.4509677419354839,0
44,17,25,3,1.0,2,0,0,0,0,1,0.48,0
34,4,19,1,0.67,3,83,0,0,1,0,0.4231578947368422,0
26,1,18,2,0.9,3,95,0,0,0,0,0.6000000000000001,0
44,18,75,2,3.5,1,0,0,0,1,0,0.56,1
38,12,30,2,1.4,3,0,0,0,0,1,0.5599999999999999,0
38,12,39,2,0.3,1,174,0,0,1,0,0.0923076923076923,0
48,22,43,1,1.2,2,112,0,0,1,0,0.3348837209302325,0
61,37,9,2,0.3,3,0,0,0,1,0,0.39999999999999997,0
25,0,71,4,0.2,1,78,1,0,0,0,0.033802816901408454,0
39,15,24,1,1.0,1,116,0,0,1,1,0.5,0
62,38,52,4,1.3,2,0,0,0,1,1,0.30000000000000004,0
56,30,158,4,6.1,1,0,0,0,0,0,0.46329113924050624,1
60,35,122,1,2.6,1,352,0,0,0,0,0.2557377049180328,0
35,11,82,4,3.4,1,0,0,0,0,0,0.49756097560975604,0
58,32,145,2,0.5,1,119,0,0,1,0,0.041379310344827586,0
38,12,179,2,0.0,1,380,0,0,0,0,0.0,0
62,38,99,4,1.7,2,0,0,0,0,0,0.20606060606060606,0
32,8,60,1,1.2,1,0,0,0,1,1,0.23999999999999996,0
34,10,21,1,0.5,3,0,0,0,1,0,0.2857142857142857,0
44,18,68,4,2.9,1,0,1,0,0,0,0.5117647058823529,0
49,24,48,1,1.3,2,0,0,0,0,1,0.325,0
39,13,21,3,0.2,2,0,0,0,1,0,0.1142857142857143,0
60,36,62,4,2.2,1,0,0,0,0,0,0.42580645161290326,0
30,4,35,2,0.3,2,0,1,0,0,1,0.10285714285714284,0
65,39,30,3,0.7,2,0,0,0,1,1,0.27999999999999997,0
56,32,88,2,0.3,1,0,0,0,1,0,0.0409090909090909,0
60,34,29,2,0.3,1,0,0,0,1,0,0.12413793103448274,0
47,23,171,2,1.4,1,284,0,0,1,1,0.0982456140350877,0
62,38,23,2,0.3,3,0,0,0,0,0,0.15652173913043477,0
30,3,68,4,2.0,2,0,0,0,1,0,0.35294117647058826,0
61,37,39,4,0.4,1,0,0,0,1,1,0.1230769230769231,0
41,17,71,2,3.2,1,0,0,0,1,1,0.5408450704225353,0
34,10,41,1,2.4,2,0,0,0,0,0,0.7024390243902439,0
44,19,45,4,0.0,2,0,0,0,1,1,0.0,0
62,38,65,1,0.0,2,0,0,0,1,0,0.0,0
58,33,18,3,0.1,2,110,0,0,1,0,0.06666666666666668,0
62,36,83,4,2.4,3,0,1,0,0,0,0.34698795180722886,0
55,31,34,3,1.5,1,101,0,0,1,0,0.5294117647058824,0
58,32,38,3,2.2,3,0,0,0,1,0,0.6947368421052632,0
61,35,59,1,2.8,2,0,0,0,0,0,0.5694915254237287,0
44,20,71,4,2.0,3,0,0,0,0,1,0.3380281690140845,0
30,5,83,4,1.8,3,0,0,0,0,1,0.2602409638554217,0
26,2,195,1,6.33,1,0,0,0,1,1,0.38953846153846156,0
63,37,44,2,1.0,3,0,0,0,1,0,0.2727272727272727,0
58,33,45,4,2.1,1,0,0,0,1,1,0.56,0
57,33,163,1,7.4,1,0,0,0,1,0,0.5447852760736197,0
55,29,64,3,0.8,1,119,0,0,0,1,0.15000000000000002,0
40,14,70,4,1.4,2,0,0,0,1,0,0.23999999999999996,0
37,11,81,3,0.9,2,0,0,0,1,1,0.13333333333333333,0
32,8,119,4,5.0,3,0,0,0,1,0,0.5042016806722689,1
54,30,194,3,6.0,3,587,1,1,1,1,0.3711340206185567,1
29,4,110,4,2.5,3,0,0,0,0,0,0.2727272727272727,1
51,25,92,1,1.9,2,100,0,0,0,1,0.2478260869565217,0
40,16,50,2,0.6,3,0,0,0,0,0,0.144,0
30,6,29,1,0.2,3,90,0,0,1,0,0.08275862068965519,0
34,10,154,3,5.4,2,0,0,0,1,0,0.42077922077922086,1
37,11,61,3,0.9,2,0,0,0,0,0,0.17704918032786887,0
43,19,32,4,0.3,1,0,0,0,0,0,0.11249999999999999,0
44,19,34,4,0.0,2,0,0,0,0,0,0.0,0
61,36,108,4,3.4,2,0,0,0,1,0,0.37777777777777777,0
32,6,85,1,2.7,2,100,0,0,1,0,0.38117647058823534,0
58,32,48,1,2.8,2,0,0,0,1,0,0.6999999999999998,0
40,16,65,2,3.2,1,0,0,0,1,0,0.5907692307692308,0
33,7,48,4,2.2,2,207,0,0,0,0,0.55,0
30,4,45,4,1.3,3,0,0,0,0,0,0.3466666666666667,0
42,18,43,1,0.3,3,158,0,0,0,0,0.08372093023255812,0
55,30,73,4,3.8,2,0,0,0,1,0,0.6246575342465752,0
35,9,85,2,1.8,1,0,0,0,0,0,0.25411764705882356,0
42,16,11,1,0.2,1,87,0,0,0,1,0.21818181818181823,0
54,24,91,2,4.5,3,90,0,0,1,0,0.5934065934065934,0
46,22,183,1,3.1,2,0,0,1,1,1,0.2032786885245902,1
59,34,14,1,0.1,1,0,0,0,1,1,0.08571428571428573,0
33,7,35,4,0.8,1,0,0,0,1,0,0.2742857142857143,0
42,16,32,3,0.5,2,0,0,0,0,1,0.1875,0
40,15,175,2,3.3,1,0,0,0,1,0,0.22628571428571426,0
54,28,78,4,4.9,1,0,0,0,0,0,0.7538461538461539,0
38,11,69,3,2.33,2,0,0,0,0,0,0.40521739130434786,0
40,15,21,2,0.0,3,0,0,0,1,0,0.0,0
65,40,115,1,2.5,1,174,0,0,0,1,0.2608695652173913,0
59,34,145,4,1.8,1,198,0,0,1,0,0.14896551724137932,1
56,31,51,3,1.7,1,0,0,0,1,1,0.39999999999999997,0
29,5,34,1,0.4,3,0,0,0,0,0,0.14117647058823532,0
51,25,39,1,1.2,2,98,0,0,1,0,0.3692307692307692,0
51,26,34,4,0.4,2,0,0,0,0,0,0.14117647058823532,0
50,25,14,1,0.4,3,0,0,0,1,1,0.3428571428571429,0
51,25,113,2,6.3,1,0,0,0,0,0,0.6690265486725663,0
35,10,21,3,1.3,1,115,0,0,0,0,0.7428571428571429,0
41,16,69,1,0.1,2,0,0,0,1,0,0.01739130434782609,0
40,16,119,2,4.2,2,0,0,0,1,0,0.42352941176470593,1
24,3,28,4,1.0,3,0,0,0,0,0,0.42857142857142855,0
38,13,179,1,4.1,1,0,0,0,1,0,0.2748603351955307,0
58,33,61,4,1.7,1,0,0,0,0,0,0.33442622950819667,0
26,2,79,2,2.5,1,0,0,0,1,0,0.379746835443038,0
51,27,21,3,0.4,1,0,0,0,1,0,0.2285714285714286,0
43,19,28,4,0.3,1,96,0,0,1,0,0.12857142857142856,0
55,30,35,1,1.5,2,118,0,0,0,1,0.5142857142857142,0
61,35,60,1,2.8,2,0,0,0,1,1,0.5599999999999999,0
55,30,29,3,0.1,2,0,1,1,1,0,0.04137931034482759,0
42,18,41,1,1.8,1,94,0,0,1,0,0.526829268292683,0
32,7,58,1,1.0,1,0,0,0,1,0,0.20689655172413793,0
44,20,43,1,0.3,3,0,1,0,0,1,0.08372093023255812,0
48,24,58,2,1.7,1,0,0,0,0,0,0.35172413793103446,0
41,16,68,3,3.0,1,0,0,0,1,1,0.5294117647058824,0
28,4,155,4,5.3,2,0,0,0,1,0,0.41032258064516125,1
35,9,40,3,0.9,1,0,0,0,1,1,0.27,0
47,22,81,4,3.6,3,0,0,0,1,1,0.5333333333333333,0
34,10,43,1,1.7,1,142,0,0,0,1,0.47441860465116276,0
51,27,188,2,6.9,2,343,0,0,1,0,0.4404255319148937,1
53,28,34,2,0.6,3,0,0,0,1,1,0.2117647058823529,0
53,28,181,1,8.1,1,0,0,0,1,0,0.5370165745856353,0
51,25,181,1,1.7,1,0,0,0,1,1,0.11270718232044198,0
65,35,23,1,1.5,3,0,0,0,1,0,0.782608695652174,0
47,23,12,4,0.5,2,0,0,0,0,0,0.5,0
47,21,60,3,2.1,1,0,0,0,1,1,0.42000000000000004,0
65,39,23,3,0.7,2,0,0,0,0,1,0.36521739130434777,0
57,32,21,3,0.1,2,0,1,1,1,0,0.05714285714285715,0
30,5,98,4,1.8,3,129,1,1,1,1,0.22040816326530613,0
46,21,40,1,0.3,1,116,0,0,0,0,0.09,0
56,26,91,1,3.0,3,0,0,0,1,1,0.3956043956043956,0
43,19,172,2,6.67,1,0,0,0,1,0,0.46534883720930226,0
55,31,91,2,2.8,1,0,0,0,1,0,0.3692307692307692,0
61,35,25,1,0.8,2,142,0,0,1,0,0.38400000000000006,0
61,36,41,2,1.5,1,0,0,0,0,0,0.43902439024390244,0
52,26,83,1,3.1,1,0,0,0,1,0,0.44819277108433736,1
42,18,158,2,0.4,2,277,0,0,0,1,0.030379746835443044,1
35,9,8,1,0.4,2,0,0,0,1,0,0.6000000000000001,0
46,20,61,2,0.4,3,0,0,0,0,0,0.07868852459016394,0
63,33,34,1,1.5,3,0,0,0,1,1,0.5294117647058824,0
28,3,55,4,2.2,1,0,0,0,1,1,0.48000000000000004,0
64,40,95,2,0.0,3,0,0,0,1,1,0.0,0
28,2,22,1,0.1,2,0,0,0,1,0,0.05454545454545456,0
37,11,75,3,0.9,2,0,0,0,1,0,0.14400000000000002,0
52,27,162,1,8.1,1,0,0,0,1,0,0.6,0
32,7,55,4,2.0,2,0,0,0,1,0,0.43636363636363634,0
56,32,83,4,1.6,2,0,0,0,0,0,0.2313253012048193,0
61,37,20,3,0.4,2,94,0,0,0,0,0.24000000000000005,0
24,0,44,3,0.1,2,0,0,0,0,0,0.02727272727272728,0
36,9,115,4,2.2,2,0,0,0,0,0,0.22956521739130437,1
48,23,168,2,2.8,1,308,0,0,1,0,0.19999999999999996,0
31,5,11,1,0.4,2,76,0,0,0,1,0.43636363636363645,0
39,15,55,1,1.5,3,0,0,0,1,0,0.32727272727272727,0
28,3,55,4,1.7,2,0,0,0,1,1,0.3709090909090909,0
35,5,85,4,4.0,3,0,0,0,1,0,0.5647058823529412,0
63,37,105,4,1.7,3,244,0,0,0,1,0.19428571428571428,0
50,25,21,2,0.7,3,129,0,0,0,0,0.3999999999999999,0
47,22,190,2,8.8,1,0,0,0,0,0,0.5557894736842106,0
59,35,70,4,2.3,3,0,0,0,0,0,0.39428571428571424,0
46,20,185,4,7.5,2,428,0,0,0,1,0.4864864864864865,1
62,36,19,2,0.2,3,0,0,0,1,1,0.12631578947368424,0
28,3,52,4,1.7,2,0,0,0,0,0,0.3923076923076923,0
57,31,43,1,0.2,1,0,0,0,0,0,0.0558139534883721,0
54,29,85,4,1.3,3,299,0,0,1,0,0.18352941176470589,0
42,18,120,2,7.5,1,0,1,0,0,0,0.75,0
57,32,23,1,0.3,3,0,0,0,1,1,0.15652173913043477,0
56,30,113,2,2.7,1,352,0,0,0,1,0.2867256637168142,0
49,25,8,1,0.3,1,97,0,0,0,0,0.44999999999999996,0
47,21,22,1,0.2,1,104,0,0,0,0,0.10909090909090911,0
59,35,31,3,0.4,2,0,0,0,1,0,0.1548387096774194,0
46,21,52,3,2.7,2,228,0,0,0,1,0.6230769230769232,0
39,13,43,3,0.5,3,0,0,0,1,0,0.13953488372093023,0
44,19,34,1,0.3,3,78,0,0,1,0,0.10588235294117646,0
39,15,72,4,2.4,1,0,1,0,1,0,0.39999999999999997,0
36,10,35,2,0.3,1,98,0,0,1,0,0.10285714285714284,0
51,26,14,2,0.0,1,103,0,0,1,0,0.0,0
35,9,63,2,1.8,1,0,0,0,1,0,0.34285714285714286,0
59,33,42,1,0.8,2,0,0,0,1,0,0.2285714285714286,0
60,36,129,2,6.0,1,0,0,0,0,0,0.5581395348837209,0
55,29,71,3,0.3,2,0,0,0,0,1,0.05070422535211267,0
57,31,41,1,1.4,1,0,1,0,1,0,0.40975609756097553,0
40,14,22,2,1.4,3,0,0,0,0,0,0.7636363636363636,0
54,30,45,4,0.9,2,0,0,0,0,1,0.24000000000000002,0
49,23,12,2,0.1,3,0,1,1,1,0,0.10000000000000002,0
54,29,35,1,1.5,2,0,0,0,1,0,0.5142857142857142,0
60,35,34,1,0.3,3,0,0,0,1,0,0.10588235294117646,0
55,29,61,4,2.8,2,0,0,0,1,1,0.5508196721311475,0
43,18,84,1,4.0,3,0,0,0,0,0,0.5714285714285714,0
51,26,42,1,1.3,2,0,0,0,1,0,0.37142857142857144,0
59,35,121,1,4.3,1,0,0,0,1,0,0.4264462809917355,0
62,37,95,3,0.5,1,0,0,0,0,0,0.06315789473684211,0
42,17,113,3,1.0,1,0,1,0,1,0,0.10619469026548672,0
62,37,83,4,0.1,2,0,0,0,0,0,0.014457831325301207,0
32,8,70,3,1.5,1,0,0,0,1,0,0.2571428571428571,0
41,17,165,2,7.6,1,157,0,0,0,0,0.5527272727272726,0
51,26,62,1,1.3,2,221,0,0,1,0,0.2516129032258065,0
39,14,24,2,0.3,2,0,0,0,1,0,0.15,0
44,19,85,2,3.8,3,0,0,0,1,0,0.536470588235294,0
36,9,40,2,1.0,2,0,0,0,1,0,0.3,0
50,25,112,1,0.6,1,0,0,0,0,0,0.06428571428571428,0
27,2,20,4,0.5,3,0,0,0,1,0,0.3,0
42,12,29,3,2.0,3,0,0,0,0,0,0.8275862068965517,0
53,27,60,1,0.2,1,0,0,0,1,0,0.04000000000000001,0
51,26,28,1,1.3,2,94,1,0,1,0,0.5571428571428572,0
48,23,112,1,5.1,2,86,1,1,1,0,0.5464285714285714,1
62,37,90,3,0.5,1,0,0,0,1,0,0.06666666666666667,0
23,1,13,4,1.0,1,84,0,0,1,0,0.9230769230769231,0
28,2,53,3,2.4,2,0,0,0,1,0,0.5433962264150943,0
54,30,64,1,1.8,3,227,0,0,0,1,0.3375,0
26,2,195,1,6.33,1,0,0,0,0,0,0.38953846153846156,0
28,3,78,4,0.2,1,0,0,0,1,1,0.030769230769230774,0
44,19,78,2,3.8,3,268,0,0,0,0,0.5846153846153845,0
45,21,91,1,4.7,1,0,0,0,1,0,0.6197802197802198,0
46,22,74,3,0.7,1,0,0,0,1,0,0.11351351351351349,0
50,25,15,1,0.4,3,0,0,0,0,0,0.32000000000000006,0
49,25,30,4,0.6,1,0,0,0,0,0,0.23999999999999996,0
61,37,64,1,0.0,2,0,0,0,0,1,0.0,0
30,6,95,2,0.2,1,0,1,0,1,0,0.025263157894736845,0
45,19,60,1,0.7,3,159,0,0,1,0,0.13999999999999999,0
43,18,22,2,0.3,2,0,0,0,0,0,0.1636363636363636,0
60,35,22,1,1.3,1,123,0,0,1,0,0.7090909090909091,0
58,32,75,2,2.3,3,0,0,0,0,0,0.368,0
52,26,180,1,1.7,1,550,0,0,1,0,0.11333333333333333,0
53,23,80,1,3.0,3,0,0,0,1,1,0.45,0
32,6,99,2,1.5,3,0,0,0,0,1,0.18181818181818182,0
52,28,9,2,0.2,1,0,0,0,0,0,0.2666666666666667,0
29,3,190,2,4.5,1,246,0,0,1,1,0.28421052631578947,0
55,29,172,1,5.2,2,0,0,0,0,0,0.3627906976744186,1
55,29,72,3,0.3,2,147,0,0,0,0,0.049999999999999996,0
37,11,34,3,0.2,2,0,0,0,0,0,0.07058823529411766,0
45,20,191,3,2.6,3,123,0,0,0,0,0.16335078534031416,1
55,31,9,4,0.7,1,89,0,0,1,0,0.9333333333333331,0
42,18,141,1,3.5,1,0,0,0,0,0,0.2978723404255319,0
38,12,93,1,5.2,1,267,0,0,1,0,0.6709677419354839,0
23,1,149,1,6.33,1,305,0,0,0,1,0.5097986577181208,0
55,29,42,4,2.5,1,0,1,0,0,0,0.7142857142857143,0
59,34,80,3,0.5,1,0,0,0,1,1,0.075,0
64,40,18,2,0.3,3,0,1,1,1,1,0.19999999999999998,0
48,23,108,2,3.8,3,0,0,0,0,1,0.42222222222222217,0
58,32,72,3,0.3,2,0,0,0,1,0,0.049999999999999996,0
52,28,21,2,0.4,1,0,1,0,1,0,0.2285714285714286,0
33,7,22,1,0.4,2,0,0,0,0,0,0.21818181818181823,0
39,12,138,1,4.67,2,0,0,0,1,0,0.40608695652173915,1
57,32,60,3,1.7,1,0,1,1,1,1,0.33999999999999997,0
61,37,158,2,6.0,1,306,1,1,1,1,0.45569620253164556,0
59,33,64,3,0.3,2,0,0,0,0,0,0.056249999999999994,0
58,32,55,4,2.5,1,0,0,0,1,0,0.5454545454545454,0
65,39,94,4,4.1,1,120,0,1,1,1,0.5234042553191489,1
61,36,61,2,2.8,1,153,0,0,0,1,0.5508196721311475,0
34,9,105,3,1.2,3,0,1,0,0,0,0.13714285714285712,0
42,16,28,4,1.5,3,91,0,0,1,1,0.6428571428571429,0
63,38,153,1,1.3,1,455,0,0,0,0,0.1019607843137255,0
49,25,53,2,1.0,3,181,0,0,0,0,0.22641509433962265,0
32,8,115,1,4.0,1,0,0,0,0,0,0.41739130434782606,0
51,27,45,1,1.6,2,82,0,0,1,0,0.42666666666666675,0
59,34,21,3,1.3,2,0,0,0,1,1,0.7428571428571429,0
50,25,83,4,3.6,3,188,0,0,1,0,0.5204819277108435,0
56,30,34,2,0.7,2,0,0,0,1,0,0.24705882352941172,0
55,30,28,1,1.5,2,0,0,0,0,0,0.6428571428571429,0
32,6,98,2,4.5,3,306,0,0,0,0,0.5510204081632653,0
40,14,69,1,1.5,3,0,0,0,0,0,0.2608695652173913,0
49,25,13,3,0.4,1,106,0,0,1,0,0.3692307692307693,0
38,14,104,2,1.8,2,79,0,0,0,0,0.2076923076923077,0
62,36,21,3,0.3,3,0,0,0,0,0,0.1714285714285714,0
27,1,80,2,1.6,3,185,0,0,1,1,0.24000000000000005,0
56,30,43,2,0.3,1,0,1,0,0,0,0.08372093023255812,0
58,34,63,4,1.6,2,0,0,0,0,0,0.3047619047619048,0
52,28,83,1,0.0,1,0,0,0,1,0,0.0,0
55,30,53,3,1.7,1,0,0,0,1,0,0.38490566037735846,0
25,1,28,1,1.0,3,0,0,0,1,0,0.42857142857142855,0
27,1,83,2,0.2,1,0,0,0,0,1,0.028915662650602414,0
61,37,61,3,2.0,3,0,0,0,1,0,0.39344262295081966,0
51,27,42,4,0.1,3,0,0,0,0,0,0.028571428571428574,0
42,18,33,1,1.4,3,0,0,0,1,0,0.509090909090909,0
61,35,63,1,1.6,1,0,0,0,1,0,0.3047619047619048,0
50,25,114,1,0.6,1,0,0,0,0,1,0.0631578947368421,0
59,35,88,2,1.6,1,0,0,0,0,1,0.21818181818181823,0
41,15,91,1,2.8,3,330,1,0,1,0,0.3692307692307692,0
64,38,32,2,0.3,1,0,0,0,1,1,0.11249999999999999,0
44,20,175,2,1.4,1,0,0,0,1,1,0.09599999999999999,0
40,16,61,3,2.1,3,0,0,0,0,0,0.4131147540983607,0
43,19,71,3,0.3,3,179,0,0,0,0,0.05070422535211267,0
